Пользователь,Дата,Комментарий,Рейтинг,Название заведения,Средняя оценка,Кол-во оценок
Канат Нуралдинов,22 марта 2025,"после сегодняшнего позора, больше не приду к вам, очень ужасно.",1,okadzaki.kz,4.7,708
Наурызбай Еркебаев,21 марта 2025,Внутри очень приятно! Все было вкусно! Цена средний 👍,5,okadzaki.kz,4.7,708
Balzhan Kenges,21 марта 2025,"Супы и суши очень вкусные и сытные 👍🏻 официант Нурбек обслуживает прекрасно, всей душой, всегда подходит и спрашивает нужно ли что-то еще, довольны ли мы 🔥",5,okadzaki.kz,4.7,708
AQZ AQZ,20 марта 2025,Нұрбекке рахмет жақсы қызмет көрсетеді,5,okadzaki.kz,4.7,708
Ляззат Байгутдинова,"19 марта 2025, отредактирован","Я всегда оцениваю по трём критериям. И они здесь все совпали. Цена, качество и интерьер.
Большие роллы. Пицца тоже супер.

Также пользовалась доставкой. Сервис по доставке также на уровне.",5,okadzaki.kz,4.7,708
Буба Касторка,17 марта 2025,"Место приятное, атмосфера. Официанты шустрые, умилило, что по-старомодному записывают в маленькие блокноты заказ, т.е. нет чудес с перекидыванием планшетов и раций в ушах. Управляющая залом наглядно выполняет свою работу: встречает гостей, усаживает, следит за порядком и тишиной. Организация, налаженный ритм, дисциплина персонала - всё во благо гостя. Вот такое впечатление",5,okadzaki.kz,4.7,708
A. G.,16 марта 2025,Всё было очень вкусно!) p.s. на фото ифтар сет #1 и #3,5,okadzaki.kz,4.7,708
Еркежан Буркитхан,15 марта 2025,"Официант Бейбарыс өте жақсы қызмет етті, өте жарқын жүзді бала екен.👍👍👍",5,okadzaki.kz,4.7,708
S.K.Y S.K.Y,"11 марта 2025, отредактирован","Заказали сет 8го марта чрз вольт. Очень разочарованы. Сыр абсолютно безвкусный, рис где то переваренный, где то наоборот, аж хрустел на зубах. Впервые вижу чтобы рыбу резали так тонко, она была почти прозрачная. Очень невкусные роллы. Может на доставку так бессовестно работают?

Добавляю фото... В подтверждении того, что мы были вашими клиентами( в первый и последний раз)",1,okadzaki.kz,4.7,708
Dilara B,10 марта 2025,"Ифтар дәмді сэт с суши очень понравилось маме, давно не пробывали суши
Очень рекомендуем морс!",5,okadzaki.kz,4.7,708
Meiirman Nurpeissov,"9 марта 2025, отредактирован","С собой дешевле будет 👍
Роллы аппетитные и вкусные 😋
Интерьер заведения хороший, приятный, светлый⛩️",4,okadzaki.kz,4.7,708
Аяулым М,9 марта 2025,"Хорошее обслуживание, и суши здесь вкусные",5,okadzaki.kz,4.7,708
Ернар Мажит,7 марта 2025,Шол басатын жане дамди ас сыйлайтын окадзаки👍,5,okadzaki.kz,4.7,708
Merey Kerimbay,7 марта 2025,Маган катты унаганы дизайн керемет озинди еркин сезинесин тазалыкка катты карайтыны коринип тур мейрам бола калса окадзаки биз ушин таптырмас жер🫶,5,okadzaki.kz,4.7,708
ulmeken mukhanovna,"7 марта 2025, отредактирован",Бугин керемет кеш ушин рахмет окадзаки ❤️ жаксы демалып кайттык тыныш музыка кулакка жагымды баяу дамди тағамдар,5,okadzaki.kz,4.7,708
Nuray Мyrzagali,21 апреля 2025,"Ресторан восхитителен! Атмосфера наполнена уютом и вкусом, персонал — невероятно приветливый и внимательный. Меню приятно удивляет своим разнообразием, а каждое блюдо — настоящее гастрономическое наслаждение. Декор заслуживает особого внимания: каждая деталь продумана до мелочей. Смело ставлю высшую оценку — 5 из 5! Обязательно вернусь снова, чтобы вновь насладиться этим великолепием.",5,Bella Ciao,4.6,2042
Nuraiym Asym,"21 апреля 2025, отредактирован",Интерьер просто вау!Классное заведение.,5,Bella Ciao,4.6,2042
Айдана Шуканова,"20 апреля 2025, отредактирован","Очень красивое заведение , но сильно портит обслуживание нужно обязательно поработать над сервисом , кухня 7/10",2,Bella Ciao,4.6,2042
Anton V,20 апреля 2025,Что за насмешка и пародия на итальянскую кухню? Привезли вместо пасты - месиво переваренное! Лучше бы в другом месте заказал! Поваренок ваш бездарный!,1,Bella Ciao,4.6,2042
Мадина Коспан,"20 апреля 2025, отредактирован","еда - 10/10
обслуживание- 10/10
расположение- возле дома, поэтому 10/10
интерьер - 10/10
сервис - 10/10",5,Bella Ciao,4.6,2042
Александр Костылев,19 апреля 2025,Не работает пицца машина,4,Bella Ciao,4.6,2042
Bibunur Abdesan,19 апреля 2025,"Все супер, 10 из 10",5,Bella Ciao,4.6,2042
MERUYERT Kalizhanova,"18 апреля 2025, отредактирован","К сожалению сервис на нуле, официанты не внимательные на просьбы не реагируют, забывают. Еда вкусная, безумно красивый интерьер, классная атмосфера, уютное место для посиделок с подругами.",4,Bella Ciao,4.6,2042
